  R12464678 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/salvador/previsao_radar/cent_sistconvectivo
  R12467238 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/salvador/chuva/chuva24h
  R12464669 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/salvador/previsao_radar/rast_tempestade
  R12467390 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/salvador/ppi/ppivr
  R12462187 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/salvador/agua_liquida/dvil
  R12464606 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/salvador/echotop/echotop20dbz
  R12464607 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/salvador/echotop/echotop35dbz
  R12467389 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/salvador/ppi/ppicz
  R12462186 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/salvador/agua_liquida/vil
  R12464608 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/salvador/echotop/waldvogel

### Radar 8325 - Maceió
  R12448325 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/maceio/cappi/cappi3km
  R12444675 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/maceio/previsao_radar/cent_sistconvectivo
  R12447230 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/maceio/chuva/chuva24h
  R12444666 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/maceio/previsao_radar/rast_tempestade
  R12447386 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/maceio/ppi/ppivr
  R12442183 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/maceio/agua_liquida/dvil
  R12444601 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/maceio/echotop/echotop20dbz
  R12444602 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/maceio/echotop/echotop35dbz
